Tab,Address,Comment,RegisterFormat
AGV,500,ControlMode 控制模式选择 1：遥控器 2：上位控制【上位机:写/读(100同步)】,UINT
AGV,0,0 Bool_Heartbeat 心跳{1秒1个脉冲} 1 Bool_ObstacleAvoidanceSwitch 避障开关{1为关，0为开} 2 Bool_Advance 前进{○10点动} 3 Bool_Retreat 后退{○9点动} 4 Bool_MoveEnabled 步进使能 5 Bool_MoveStart 步进开始 6 Bool_ControlStop 急停 7 Bool_Standby 备用 8 BOOL_TurnOffBuzzer 关闭蜂鸣器 9 Bool_LegReachOut 一键支腿支撑/驻车开 10 Bool_LegWithdraw 一键支腿收回/驻车关【上位机:写bit1/2/3/4/5/9/10】,BOOL
AGV,2,UINT_UpperControlMode 控制模式{0=前后轮 1=前轮 2=平移 3=横移 4=原地旋转}【上位机:写】,UINT
AGV,3,UINT_UpperControlSpeed 速度{0-100 mm/s}【上位机:写/读153同步】,UINT
AGV,4,INT_UpperControlAngle 角度{-25~25°}【上位机:写/读154同步】,INT
AGV,5,INT_UpperControlPosition 步进距离【上位机:写】,INT
AGV,100,UINT_CurrentControlMode 当前控制模式 1=遥控 2=示教器【上位机:轮询读】,UINT
AGV,155,UINT_CurrentSteeringMode 底盘转向模式状态{1~5对应五种模式}【上位机:轮询读/切换等待】,UINT
AGV,290,ClearAlarm 清除报警写1【上位机:写(与主控290联动)】,UINT
AGV,5050,INT_BrakeDelay 参数设置【规范定义，上位机未接入】,INT
AGV,5000,Real_TrunVelocity 转向速度【规范定义，上位机未接入】,REAL
AGV,5002,Real_TrunAcceleration 转向加速度【规范定义，上位机未接入】,REAL
AGV,5004,Real_TrunDeceleration 转向减速度【规范定义，上位机未接入】,REAL
AGV,5006,Real_DriveVelocity 行走数值化运行速度【规范定义，上位机未接入】,REAL
AGV,5008,Real_DriveAcceleration 行走加速度【规范定义，上位机未接入】,REAL
AGV,5010,Real_DriveDeceleration 行走减速度【规范定义，上位机未接入】,REAL
AGV,5012,MaximumDrivingSpeed 移动最大速度【规范定义，上位机未接入】,REAL
AGV,5014,ElectricCylinderReachPosition 电缸伸出位置/驻车伸出长度mm【上位机:写5014~5017共4字LREAL】,LREAL
AGV,5018,ElectricCylinderWithdrawPosition 电缸缩回位置【规范定义，上位机未接入】,LREAL
AGV,5022,LF_LegCurrentSetting 左前支腿停止电流【规范定义，上位机未接入】,WORD
AGV,5023,RF_LegCurrentSetting 右前支腿停止电流【规范定义，上位机未接入】,WORD
AGV,5024,LR_LegCurrentSetting 左后支腿停止电流【规范定义，上位机未接入】,WORD
AGV,5025,RR_LegCurrentSetting 右后支腿停止电流【规范定义，上位机未接入】,WORD
AGV,5026,SINT_VelocitySelection 三段速度选择【规范定义，上位机未接入】,SINT
AGV,50,0 Bool_ReadHeartbeat 1前触边 2后触边 3左触边 4右触边 5前避障减速 6前避障停止 7后避障减速 8后避障停止 9点动运行中 10转向回正 11横移到位 12原地旋转到位 13避障开关状态{0开1关}【上位机:轮询读】,BOOL
AGV,51,0低电报警 1站掉线 2驱动故障 3支腿支撑完成 4支腿收回完成 5底盘急停触发【上位机:轮询读】,BOOL
AGV,102,INT_BatteryLevel 电池1电量{0-100%}；bit0低电 bit1通讯故障 bit2驱动故障【上位机:轮询读】,INT
AGV,103,INT_BatteryLevel2 电池2电量{0-100%}【上位机:轮询读】,INT
AGV,104,INT_RunningVelocity 行驶速度{mm/s}【上位机:轮询读/速度表】,UINT
AGV,105,INT_JogDisplacement 点动位移{mm}【上位机:轮询读】,INT
